type,side,price,sl,tp,profit
SL,,1.1596899999999999,,,-3.1427875573040294
OPEN,SELL,1.15974,1.15974,1.15974,
SL,,1.15974,,,-2.954108710434222
OPEN,BUY,1.15979,1.15979,1.15979,
TP,,1.15979,,,-3.1661011839773114
OPEN,BUY,1.15984,1.15984,1.15984,
SL,,1.15984,,,-3.04414686858253
OPEN,BUY,1.15985,1.15985,1.15985,
SL,,1.15985,,,-2.899575508696022
OPEN,BUY,1.15994,1.15994,1.15994,
SL,,1.15994,,,-2.929545331440256
OPEN,BUY,1.1598600000000001,1.1598600000000001,1.1598600000000001,
SL,,1.1598600000000001,,,-2.879701506000902
OPEN,SELL,1.15979,1.15979,1.15979,
SL,,1.15979,,,-3.145552873298651
OPEN,BUY,1.15971,1.15971,1.15971,
SL,,1.15971,,,-3.172089330205298
OPEN,SELL,1.15974,1.15974,1.15974,
SL,,1.15974,,,-3.1466064748608735
OPEN,SELL,1.15964,1.15964,1.15964,
SL,,1.15964,,,-3.0746988311793912
OPEN,SELL,1.15962,1.15962,1.15962,
SL,,1.15962,,,-2.827045833008622
OPEN,SELL,1.15964,1.15964,1.15964,
SL,,1.15964,,,-2.8612457406002756
OPEN,SELL,1.15953,1.15953,1.15953,
SL,,1.15953,,,-2.821022356389285
OPEN,SELL,1.15949,1.15949,1.15949,
SL,,1.15949,,,-2.9230680421382567
OPEN,SELL,1.1596,1.1596,1.1596,
SL,,1.1596,,,-2.869484972431529
OPEN,SELL,1.15953,1.15953,1.15953,
SL,,1.15953,,,-3.148202920582674
OPEN,SELL,1.15954,1.15954,1.15954,
SL,,1.15954,,,-2.993244871369958
OPEN,BUY,1.1597,1.1597,1.1597,
SL,,1.1597,,,-2.9221435583664124
OPEN,BUY,1.15966,1.15966,1.15966,
SL,,1.15966,,,-3.0062879893615135
OPEN,BUY,1.15962,1.15962,1.15962,
SL,,1.15962,,,-3.1971271613822867
OPEN,SELL,1.1596899999999999,1.1596899999999999,1.1596899999999999,
SL,,1.1596899999999999,,,-3.139452659205017
OPEN,BUY,1.15974,1.15974,1.15974,
SL,,1.15974,,,-3.1983971291087623
OPEN,BUY,1.15966,1.15966,1.15966,
SL,,1.15966,,,-3.1198340388505867
