type,side,price,sl,tp,profit
OPEN,BUY,1.16018,1.15918,1.16218,
REVERSE,,1.16027,,,0.8999999999992347
OPEN,SELL,1.16027,1.1612699999999998,1.15827,
REVERSE,,1.16035,,,-0.8000000000008001
OPEN,BUY,1.16035,1.15935,1.16235,
REVERSE,,1.16038,,,0.2999999999997449
OPEN,SELL,1.16038,1.1613799999999999,1.15838,
REVERSE,,1.16045,,,-0.700000000000145
OPEN,BUY,1.16045,1.15945,1.16245,
REVERSE,,1.16033,,,-1.1999999999989797
OPEN,SELL,1.16033,1.16133,1.15833,
REVERSE,,1.1602999999999999,,,0.30000000000196536
OPEN,BUY,1.1602999999999999,1.1593,1.1622999999999999,
REVERSE,,1.16045,,,1.500000000000945
OPEN,SELL,1.16045,1.1614499999999999,1.15845,
REVERSE,,1.16054,,,-0.8999999999992347
OPEN,BUY,1.16054,1.15954,1.16254,
REVERSE,,1.16028,,,-2.5999999999992696
OPEN,SELL,1.16028,1.1612799999999999,1.15828,
REVERSE,,1.16027,,,0.10000000000065512
OPEN,BUY,1.16027,1.15927,1.16227,
REVERSE,,1.16027,,,0.0
OPEN,SELL,1.16027,1.1612699999999998,1.15827,
REVERSE,,1.16044,,,-1.7000000000000348
OPEN,BUY,1.16044,1.15944,1.16244,
REVERSE,,1.16046,,,0.20000000000131024
OPEN,SELL,1.16046,1.16146,1.15846,
REVERSE,,1.1604700000000001,,,-0.10000000000065512
OPEN,BUY,1.1604700000000001,1.1594700000000002,1.1624700000000001,
REVERSE,,1.1604,,,-0.700000000000145
OPEN,SELL,1.1604,1.1614,1.1584,
REVERSE,,1.16028,,,1.2000000000012
OPEN,BUY,1.16028,1.15928,1.16228,
REVERSE,,1.1602000000000001,,,-0.7999999999985796
OPEN,SELL,1.1602000000000001,1.1612,1.1582000000000001,
REVERSE,,1.16024,,,-0.3999999999981796
OPEN,BUY,1.16024,1.15924,1.16224,
REVERSE,,1.16008,,,-1.5999999999993797
OPEN,SELL,1.16008,1.16108,1.15808,
REVERSE,,1.16012,,,-0.40000000000040004
OPEN,BUY,1.16012,1.1591200000000002,1.16212,
REVERSE,,1.16012,,,0.0
OPEN,SELL,1.16012,1.16112,1.15812,
REVERSE,,1.16003,,,0.9000000000014552
OPEN,BUY,1.16003,1.15903,1.16203,
REVERSE,,1.15995,,,-0.7999999999985796
OPEN,SELL,1.15995,1.16095,1.15795,
REVERSE,,1.15989,,,0.5999999999994898
OPEN,BUY,1.15989,1.1588900000000002,1.16189,
REVERSE,,1.16003,,,1.3999999999980695
OPEN,SELL,1.16003,1.1610299999999998,1.15803,
REVERSE,,1.16003,,,-0.0
OPEN,BUY,1.16003,1.15903,1.16203,
REVERSE,,1.16005,,,0.20000000000131024
OPEN,SELL,1.16005,1.16105,1.15805,
REVERSE,,1.1601,,,-0.4999999999988347
OPEN,BUY,1.1601,1.1591,1.1621,
REVERSE,,1.16,,,-0.9999999999998899
OPEN,SELL,1.16,1.1609999999999998,1.158,
REVERSE,,1.16,,,-0.0
OPEN,BUY,1.16,1.159,1.162,
REVERSE,,1.15999,,,-0.09999999999843467
OPEN,SELL,1.15999,1.16099,1.15799,
REVERSE,,1.16009,,,-0.9999999999998899
OPEN,BUY,1.16009,1.1590900000000002,1.16209,
REVERSE,,1.16006,,,-0.2999999999997449
OPEN,SELL,1.16006,1.16106,1.15806,
REVERSE,,1.15993,,,1.3000000000018552
OPEN,BUY,1.15993,1.15893,1.16193,
REVERSE,,1.15997,,,0.40000000000040004
OPEN,SELL,1.15997,1.1609699999999998,1.15797,
REVERSE,,1.15988,,,0.8999999999992347
OPEN,BUY,1.15988,1.1588800000000001,1.16188,
REVERSE,,1.15979,,,-0.8999999999992347
OPEN,SELL,1.15979,1.16079,1.15779,
REVERSE,,1.1597,,,0.9000000000014552
OPEN,BUY,1.1597,1.1587,1.1617,
REVERSE,,1.15965,,,-0.4999999999988347
OPEN,SELL,1.15965,1.16065,1.15765,
REVERSE,,1.15968,,,-0.2999999999997449
OPEN,BUY,1.15968,1.1586800000000002,1.16168,
REVERSE,,1.15966,,,-0.20000000000131024
OPEN,SELL,1.15966,1.1606599999999998,1.15766,
REVERSE,,1.15962,,,0.3999999999981796
OPEN,BUY,1.15962,1.1586200000000002,1.16162,
REVERSE,,1.15978,,,1.5999999999993797
OPEN,SELL,1.15978,1.16078,1.15778,
REVERSE,,1.15972,,,0.5999999999994898
OPEN,BUY,1.15972,1.1587200000000002,1.16172,
REVERSE,,1.15972,,,0.0
OPEN,SELL,1.15972,1.16072,1.15772,
REVERSE,,1.15981,,,-0.8999999999992347
OPEN,BUY,1.15981,1.1588100000000001,1.16181,
REVERSE,,1.15976,,,-0.5000000000010552
OPEN,SELL,1.15976,1.1607599999999998,1.15776,
REVERSE,,1.1596899999999999,,,0.700000000000145
OPEN,BUY,1.1596899999999999,1.15869,1.16169,
REVERSE,,1.15974,,,0.5000000000010552
OPEN,SELL,1.15974,1.1607399999999999,1.15774,
REVERSE,,1.15979,,,-0.5000000000010552
OPEN,BUY,1.15979,1.1587900000000002,1.16179,
REVERSE,,1.15977,,,-0.20000000000131024
OPEN,SELL,1.15977,1.1607699999999999,1.15777,
REVERSE,,1.15971,,,0.5999999999994898
OPEN,BUY,1.15971,1.1587100000000001,1.16171,
REVERSE,,1.15974,,,0.2999999999997449
OPEN,SELL,1.15974,1.1607399999999999,1.15774,
REVERSE,,1.15975,,,-0.10000000000065512
OPEN,BUY,1.15975,1.1587500000000002,1.16175,
REVERSE,,1.15964,,,-1.100000000000545
OPEN,SELL,1.15964,1.16064,1.15764,
REVERSE,,1.15964,,,-0.0
OPEN,BUY,1.15964,1.1586400000000001,1.16164,
REVERSE,,1.15962,,,-0.1999999999990898
OPEN,SELL,1.15962,1.16062,1.15762,
REVERSE,,1.1595900000000001,,,0.2999999999997449
OPEN,BUY,1.1595900000000001,1.1585900000000002,1.1615900000000001,
REVERSE,,1.15953,,,-0.6000000000017103
OPEN,SELL,1.15953,1.1605299999999998,1.15753,
REVERSE,,1.15958,,,-0.5000000000010552
OPEN,BUY,1.15958,1.1585800000000002,1.16158,
REVERSE,,1.15953,,,-0.5000000000010552
OPEN,SELL,1.15953,1.1605299999999998,1.15753,
REVERSE,,1.15965,,,-1.2000000000012
OPEN,BUY,1.15965,1.1586500000000002,1.16165,
REVERSE,,1.15967,,,0.1999999999990898
OPEN,SELL,1.15967,1.1606699999999999,1.15767,
REVERSE,,1.15962,,,0.4999999999988347
OPEN,BUY,1.15962,1.1586200000000002,1.16162,
REVERSE,,1.1596899999999999,,,0.6999999999979245
OPEN,SELL,1.1596899999999999,1.1606899999999998,1.1576899999999999,
REVERSE,,1.15974,,,-0.5000000000010552
OPEN,BUY,1.15974,1.15874,1.16174,
REVERSE,,1.15963,,,-1.100000000000545
OPEN,SELL,1.15963,1.1606299999999998,1.15763,
REVERSE,,1.15965,,,-0.20000000000131024
OPEN,BUY,1.15965,1.1586500000000002,1.16165,
REVERSE,,1.15973,,,0.7999999999985796
OPEN,SELL,1.15973,1.1607299999999998,1.15773,
REVERSE,,1.1597,,,0.2999999999997449
OPEN,BUY,1.1597,1.1587,1.1617,
REVERSE,,1.15966,,,-0.40000000000040004
OPEN,SELL,1.15966,1.1606599999999998,1.15766,
REVERSE,,1.1596899999999999,,,-0.2999999999997449
OPEN,BUY,1.1596899999999999,1.15869,1.16169,
REVERSE,,1.15961,,,-0.7999999999985796
OPEN,SELL,1.15961,1.16061,1.15761,
REVERSE,,1.15962,,,-0.10000000000065512
OPEN,BUY,1.15962,1.1586200000000002,1.16162,
REVERSE,,1.15964,,,0.1999999999990898
OPEN,SELL,1.15964,1.16064,1.15764,
REVERSE,,1.15962,,,0.1999999999990898
OPEN,BUY,1.15962,1.1586200000000002,1.16162,
REVERSE,,1.1596899999999999,,,0.6999999999979245
OPEN,SELL,1.1596899999999999,1.1606899999999998,1.1576899999999999,
REVERSE,,1.1596899999999999,,,-0.0
OPEN,BUY,1.1596899999999999,1.15869,1.16169,
REVERSE,,1.15967,,,-0.1999999999990898
OPEN,SELL,1.15967,1.1606699999999999,1.15767,
REVERSE,,1.15978,,,-1.100000000000545
OPEN,BUY,1.15978,1.1587800000000001,1.16178,
REVERSE,,1.1598,,,0.1999999999990898
OPEN,SELL,1.1598,1.1607999999999998,1.1578,
REVERSE,,1.15982,,,-0.20000000000131024
OPEN,BUY,1.15982,1.1588200000000002,1.16182,
REVERSE,,1.15982,,,0.0
OPEN,SELL,1.15982,1.16082,1.15782,
REVERSE,,1.15978,,,0.40000000000040004
OPEN,BUY,1.15978,1.1587800000000001,1.16178,
REVERSE,,1.15978,,,0.0
OPEN,SELL,1.15978,1.16078,1.15778,
REVERSE,,1.15975,,,0.2999999999997449
OPEN,BUY,1.15975,1.1587500000000002,1.16175,
REVERSE,,1.15971,,,-0.40000000000040004
OPEN,SELL,1.15971,1.16071,1.15771,
REVERSE,,1.15974,,,-0.2999999999997449
OPEN,BUY,1.15974,1.15874,1.16174,
REVERSE,,1.1597,,,-0.40000000000040004
OPEN,SELL,1.1597,1.1606999999999998,1.1577,
REVERSE,,1.15958,,,1.1999999999989797
OPEN,BUY,1.15958,1.1585800000000002,1.16158,
REVERSE,,1.1595900000000001,,,0.10000000000065512
OPEN,SELL,1.1595900000000001,1.16059,1.1575900000000001,
REVERSE,,1.15961,,,-0.1999999999990898
OPEN,BUY,1.15961,1.1586100000000001,1.16161,
REVERSE,,1.15962,,,0.10000000000065512
OPEN,SELL,1.15962,1.16062,1.15762,
REVERSE,,1.15958,,,0.40000000000040004
OPEN,BUY,1.15958,1.1585800000000002,1.16158,
REVERSE,,1.15947,,,-1.100000000000545
OPEN,SELL,1.15947,1.16047,1.15747,
REVERSE,,1.15932,,,1.500000000000945
OPEN,BUY,1.15932,1.15832,1.16132,
REVERSE,,1.1592500000000001,,,-0.6999999999979245
OPEN,SELL,1.1592500000000001,1.16025,1.1572500000000001,
REVERSE,,1.15919,,,0.6000000000017103
OPEN,BUY,1.15919,1.15819,1.16119,
REVERSE,,1.1593,,,1.100000000000545
OPEN,SELL,1.1593,1.1602999999999999,1.1573,
REVERSE,,1.1592,,,0.9999999999998899
OPEN,BUY,1.1592,1.1582000000000001,1.1612,
REVERSE,,1.15916,,,-0.40000000000040004
OPEN,SELL,1.15916,1.1601599999999999,1.15716,
REVERSE,,1.15911,,,0.4999999999988347
OPEN,BUY,1.15911,1.1581100000000002,1.16111,
REVERSE,,1.15906,,,-0.5000000000010552
OPEN,SELL,1.15906,1.1600599999999999,1.15706,
REVERSE,,1.15915,,,-0.8999999999992347
OPEN,BUY,1.15915,1.15815,1.16115,
REVERSE,,1.15918,,,0.30000000000196536
OPEN,SELL,1.15918,1.16018,1.15718,
REVERSE,,1.15917,,,0.10000000000065512
OPEN,BUY,1.15917,1.1581700000000001,1.16117,
REVERSE,,1.15919,,,0.1999999999990898
OPEN,SELL,1.15919,1.1601899999999998,1.15719,
REVERSE,,1.15932,,,-1.2999999999996348
OPEN,BUY,1.15932,1.15832,1.16132,
REVERSE,,1.15937,,,0.5000000000010552
OPEN,SELL,1.15937,1.16037,1.15737,
REVERSE,,1.1595,,,-1.2999999999996348
OPEN,BUY,1.1595,1.1585,1.1615,
REVERSE,,1.15946,,,-0.40000000000040004
OPEN,SELL,1.15946,1.1604599999999998,1.15746,
REVERSE,,1.15947,,,-0.10000000000065512
OPEN,BUY,1.15947,1.15847,1.16147,
REVERSE,,1.15944,,,-0.2999999999997449
OPEN,SELL,1.15944,1.16044,1.15744,
REVERSE,,1.15939,,,0.5000000000010552
OPEN,BUY,1.15939,1.15839,1.16139,
REVERSE,,1.15937,,,-0.1999999999990898
OPEN,SELL,1.15937,1.16037,1.15737,
REVERSE,,1.15947,,,-0.9999999999998899
OPEN,BUY,1.15947,1.15847,1.16147,
REVERSE,,1.15945,,,-0.1999999999990898
OPEN,SELL,1.15945,1.16045,1.15745,
REVERSE,,1.15948,,,-0.2999999999997449
OPEN,BUY,1.15948,1.1584800000000002,1.16148,
REVERSE,,1.15953,,,0.4999999999988347
OPEN,SELL,1.15953,1.1605299999999998,1.15753,
REVERSE,,1.15954,,,-0.10000000000065512
OPEN,BUY,1.15954,1.1585400000000001,1.16154,
REVERSE,,1.15958,,,0.40000000000040004
OPEN,SELL,1.15958,1.16058,1.15758,
REVERSE,,1.15958,,,-0.0
OPEN,BUY,1.15958,1.1585800000000002,1.16158,
REVERSE,,1.1596,,,0.1999999999990898
