type,side,price,sl,tp,profit
OPEN,BUY,1.16582,1.1648200000000002,1.16782,
REVERSE,,1.16581,,,-1.0000000000065512
OPEN,SELL,1.16581,1.16681,1.16381,
REVERSE,,1.16573,,,8.000000000008
OPEN,BUY,1.16573,1.16473,1.16773,
REVERSE,,1.16681,,,107.99999999999699
OPEN,SELL,1.16681,1.1678099999999998,1.16481,
REVERSE,,1.16623,,,57.99999999998029
OPEN,BUY,1.16623,1.1652300000000002,1.16823,
REVERSE,,1.16637,,,13.999999999980695
OPEN,SELL,1.16637,1.1673699999999998,1.16437,
REVERSE,,1.16618,,,18.999999999991246
OPEN,BUY,1.16618,1.16518,1.16818,
TRAIL_SL,,1.16531,,,-86.99999999999264
OPEN,BUY,1.16535,1.1643500000000002,1.16735,
REVERSE,,1.16523,,,-12.000000000012001
OPEN,SELL,1.16523,1.1662299999999999,1.16323,
REVERSE,,1.16522,,,1.0000000000065512
OPEN,BUY,1.16522,1.16422,1.16722,
REVERSE,,1.16503,,,-18.999999999991246
OPEN,SELL,1.16503,1.16603,1.16303,
REVERSE,,1.16489,,,14.000000000002899
OPEN,BUY,1.16489,1.16389,1.16689,
REVERSE,,1.16529,,,39.999999999995595
OPEN,SELL,1.16529,1.1662899999999998,1.16329,
REVERSE,,1.16539,,,-9.999999999998899
OPEN,BUY,1.16539,1.16439,1.16739,
TRAIL_SL,,1.1649500000000002,,,-43.99999999997739
OPEN,BUY,1.16504,1.1640400000000002,1.16704,
REVERSE,,1.16444,,,-60.000000000015596
OPEN,SELL,1.16444,1.1654399999999998,1.16244,
REVERSE,,1.16438,,,5.999999999994898
OPEN,BUY,1.16438,1.16338,1.16638,
TRAIL_SL,,1.16344,,,-93.99999999999409
OPEN,BUY,1.16355,1.1625500000000002,1.16555,
REVERSE,,1.16352,,,-2.999999999997449
OPEN,SELL,1.16352,1.16452,1.16152,
REVERSE,,1.16317,,,35.00000000000725
OPEN,BUY,1.16317,1.1621700000000001,1.16517,
REVERSE,,1.16297,,,-19.999999999997797
OPEN,SELL,1.16297,1.16397,1.16097,
REVERSE,,1.16293,,,4.000000000004
OPEN,BUY,1.16293,1.1619300000000001,1.16493,
REVERSE,,1.16311,,,18.0000000000069
OPEN,SELL,1.16311,1.16411,1.16111,
REVERSE,,1.16318,,,-7.0000000000014495
OPEN,BUY,1.16318,1.1621800000000002,1.16518,
TRAIL_SL,,1.1626,,,-58.000000000002494
OPEN,SELL,1.16302,1.1640199999999998,1.16102,
REVERSE,,1.16266,,,35.999999999991594
OPEN,BUY,1.16266,1.1616600000000001,1.16466,
REVERSE,,1.16296,,,29.999999999996696
OPEN,SELL,1.16296,1.1639599999999999,1.16096,
TRAIL_SL,,1.1637799999999998,,,-81.9999999999821
OPEN,SELL,1.16456,1.16556,1.16256,
TRAIL_SL,,1.1646699999999999,,,-10.999999999983245
OPEN,BUY,1.16446,1.1634600000000002,1.16646,
TRAIL_SL,,1.1635300000000002,,,-92.99999999998754
OPEN,BUY,1.16358,1.1625800000000002,1.16558,
REVERSE,,1.1638600000000001,,,28.000000000005798
OPEN,SELL,1.1638600000000001,1.16486,1.1618600000000001,
REVERSE,,1.16382,,,4.000000000004
OPEN,BUY,1.16382,1.1628200000000002,1.16582,
TRAIL_SL,,1.1628900000000002,,,-92.99999999998754
OPEN,BUY,1.16292,1.16192,1.16492,
REVERSE,,1.16407,,,114.99999999999844
OPEN,SELL,1.16407,1.1650699999999998,1.16207,
REVERSE,,1.16397,,,9.999999999998899
OPEN,BUY,1.16397,1.16297,1.16597,
