type,side,price,sl,tp,profit
REVERSE,,1.16372,,,-12.000000000012001
OPEN,BUY,1.16372,1.1627200000000002,1.16572,
REVERSE,,1.16461,,,88.99999999998354
OPEN,SELL,1.16461,1.1656099999999998,1.16261,
REVERSE,,1.1647,,,-9.000000000014552
OPEN,BUY,1.1647,1.1637000000000002,1.1667,
REVERSE,,1.16452,,,-18.0000000000069
OPEN,SELL,1.16452,1.16552,1.16252,
REVERSE,,1.16474,,,-22.0000000000109
OPEN,BUY,1.16474,1.1637400000000002,1.16674,
REVERSE,,1.16439,,,-35.00000000000725
OPEN,SELL,1.16439,1.16539,1.16239,
REVERSE,,1.16463,,,-24.000000000001798
OPEN,BUY,1.16463,1.1636300000000002,1.16663,
REVERSE,,1.16456,,,-7.0000000000014495
OPEN,SELL,1.16456,1.16556,1.16256,
REVERSE,,1.16446,,,9.999999999998899
OPEN,BUY,1.16446,1.1634600000000002,1.16646,
REVERSE,,1.16434,,,-12.000000000012001
OPEN,SELL,1.16434,1.1653399999999998,1.16234,
REVERSE,,1.16451,,,-17.000000000000348
OPEN,BUY,1.16451,1.16351,1.16651,
REVERSE,,1.16441,,,-9.999999999998899
OPEN,SELL,1.16441,1.1654099999999998,1.16241,
REVERSE,,1.1646,,,-19.00000000001345
OPEN,BUY,1.1646,1.1636000000000002,1.1666,
REVERSE,,1.16521,,,60.99999999999994
OPEN,SELL,1.16521,1.16621,1.16321,
REVERSE,,1.16527,,,-5.999999999994898
OPEN,BUY,1.16527,1.1642700000000001,1.16727,
REVERSE,,1.16556,,,28.999999999990145
OPEN,SELL,1.16556,1.1665599999999998,1.16356,
REVERSE,,1.1657899999999999,,,-22.999999999995246
OPEN,BUY,1.1657899999999999,1.16479,1.1677899999999999,
REVERSE,,1.16573,,,-5.999999999994898
OPEN,SELL,1.16573,1.1667299999999998,1.16373,
REVERSE,,1.1659,,,-17.000000000000348
OPEN,BUY,1.1659,1.1649,1.1679,
REVERSE,,1.16593,,,2.999999999997449
OPEN,SELL,1.16593,1.1669299999999998,1.16393,
REVERSE,,1.16601,,,-8.000000000008
OPEN,BUY,1.16601,1.16501,1.16801,
REVERSE,,1.1657899999999999,,,-22.0000000000109
OPEN,SELL,1.1657899999999999,1.1667899999999998,1.1637899999999999,
REVERSE,,1.16559,,,19.999999999997797
OPEN,BUY,1.16559,1.16459,1.16759,
REVERSE,,1.16552,,,-7.0000000000014495
OPEN,SELL,1.16552,1.1665199999999998,1.1635199999999999,
